Time (milliseconds),X,Y,Z
3541942,-116,1868,236
3541970,-136,1652,-60
3541982,160,1360,200
3542003,2040,1492,448
3542023,924,172,-444
3542043,696,844,-524
3542063,444,1056,-492
3542083,332,1160,132
3542104,440,844,396
3542124,476,720,112
3542144,428,540,-292
3542165,340,696,-328
3542185,-40,1512,-104
3542214,100,1472,308
3542226,40,1560,572
3542246,224,1276,652
3542266,244,1296,404
3542287,452,1288,440
3542307,248,1632,568
3542327,412,1156,1008
3542348,472,808,880
3542368,268,964,192
3542388,-108,1336,-272
3542408,-80,1244,-208
3542429,60,848,-72
3542449,-132,1188,-132
3542474,28,776,-60
3542490,84,656,252
3542510,1104,1336,-2016
3542530,1756,832,-440
3542551,1948,84,116
3542571,-116,1996,-192
3542591,116,996,-720
3542612,-284,1052,120
3542632,372,1600,-2040
3542652,-588,1288,-568
3542673,328,700,-1468
3542702,48,348,-568
3542713,172,348,-780
3542733,52,480,-2016
3542753,108,312,-952
3542774,64,128,-884
3542794,-36,280,-780
3542814,172,96,-1064
3542835,-896,160,-1208
3542855,-16,56,-668
3542876,36,36,-1044
3542896,-176,24,-1316
3542916,108,-12,-632
3542937,-160,152,-1044
3542962,-624,216,-1020
3542977,-200,136,-1068
3542997,-176,80,-1028
3543017,-80,24,-940
3543038,-112,56,-992
3543058,-124,68,-980
3543078,-124,68,-1004
3543099,-100,60,-964
3543119,-116,52,-964
3543139,-116,52,-964
3543159,-124,60,-976
3543179,-120,64,-968
3543202,-112,60,-948
3543221,-108,44,-964
3543241,-104,48,-952
3543261,-120,56,-968
3543281,-100,44,-956
3543301,-104,40,-960
3543322,-104,32,-948
3543342,-104,40,-960
3543362,-104,28,-952
3543382,-96,24,-948
3543403,-108,32,-948
3543423,-108,40,-952
3543446,-112,40,-952
3543464,-108,28,-948
3543484,-100,24,-960
3543504,-100,24,-964
3543525,-116,20,-964
3543545,-112,28,-960
3543565,-108,28,-964
3543585,-120,24,-976
3543606,-124,20,-976
3543626,-120,20,-968
3543646,-116,28,-968
3543667,-120,28,-968
3543690,-124,24,-976
3543707,-120,36,-972
3543728,-124,28,-980
3543748,-124,24,-976
3543768,-120,24,-980
3543789,-124,28,-980
3543809,-116,36,-980
3543829,-120,32,-980
3543849,-124,24,-980
3543870,-120,32,-980
3543890,-116,28,-980
3543910,-124,28,-984
3543934,-128,24,-984
3543951,-124,32,-988
3543971,-116,32,-992
3543992,-120,40,-996
3544012,-120,40,-996
3544032,-132,28,-972
3544053,-104,48,-1004
3544073,-116,44,-988
3544093,-120,44,-1004
3544113,-120,52,-1024
3544133,-112,60,-1008
3544154,-116,56,-1008
3544178,-120,64,-1008
3544194,-120,56,-1020
3544215,-116,52,-1020
3544235,-124,64,-1024
3544255,-116,68,-1024
3544276,-128,84,-1032
3544296,-128,80,-1036
3544317,-124,84,-1032
3544337,-132,92,-1032
3544357,-136,92,-1032
3544377,-128,88,-1044
3544397,-132,92,-1048
3544422,-128,96,-1040
3544438,-132,100,-1052
3544458,-140,100,-1056
3544479,-124,112,-1052
3544499,-132,108,-1072
3544520,-140,108,-1056
3544540,-128,112,-1060
3544560,-128,124,-1056
3544580,-132,112,-1056
3544600,-136,112,-1060
3544621,-132,112,-1048
3544754,-128,112,-1048
3544758,-128,112,-1048
3544762,-128,108,-1044
3544766,-132,108,-1044
3544770,-132,108,-1044
3544774,-132,108,-1044
3544778,-132,108,-1044
3544784,-128,108,-1048
3544804,-124,112,-1048
3544824,-132,108,-1044
3544844,-124,112,-1048
3544866,-124,104,-1044
3544884,-132,108,-1032
3544905,-120,104,-1028
3544925,-124,100,-1032
3544945,-120,88,-1016
3544966,-124,100,-1012
3544986,-124,92,-1016
3545006,-124,92,-1024
3545026,-132,96,-1020
3545047,-116,96,-1008
3545067,-124,84,-1004
3545087,-124,84,-996
3545108,-116,72,-996
3545128,-124,84,-992
3545148,-112,68,-996
3545169,-128,76,-992
3545189,-124,76,-976
3545209,-120,72,-988
3545229,-124,68,-984
3545250,-120,64,-976
3545270,-120,64,-976
3545290,-120,52,-972
3545311,-120,52,-968
3545331,-112,56,-964
3545354,-108,36,-956
3545372,-108,44,-964
3545392,-120,44,-964
3545412,-112,40,-964
3545433,-108,28,-956
3545453,-108,32,-956
3545473,-104,24,-960
3545493,-104,28,-952
3545514,-120,24,-948
3545534,-112,28,-952
3545554,-112,28,-956
3545575,-108,16,-956
3545598,-112,24,-960
3545615,-108,16,-948
3545636,-116,20,-956
3545656,-116,28,-956
3545676,-108,16,-960
3545696,-116,24,-956
3545717,-116,8,-964
3545737,-124,16,-968
3545757,-116,16,-968
3545777,-120,24,-972
3545798,-120,20,-976
3545818,-116,16,-984
3545842,-140,12,-988
3545859,-120,8,-984
