Time (milliseconds),X,Y,Z
3559422,-136,80,-1052
3559437,-132,76,-1060
3559457,-128,84,-1052
3559477,-136,84,-1048
3559498,-136,76,-1044
3559518,-132,80,-1048
3559538,-132,76,-1044
3559559,-132,80,-1048
3559579,-140,84,-1040
3559600,-136,72,-1032
3559619,-124,72,-1040
3559639,-124,84,-1032
3559662,-132,80,-1040
3559680,-128,80,-1036
3559700,-128,76,-1032
3559721,-128,72,-1028
3559741,-132,80,-1020
3559761,-128,76,-1004
3559782,-128,72,-1000
3559802,-128,68,-992
3559822,-120,60,-988
3559842,-132,64,-992
3559863,-124,60,-992
3559883,-124,68,-992
3559906,-124,60,-996
3559924,-124,56,-996
3559944,-128,56,-980
3559964,-116,40,-976
3559985,-116,44,-968
3560005,-124,40,-964
3560025,-112,40,-956
3560045,-120,40,-956
3560066,-120,40,-960
3560086,-124,28,-956
3560106,-116,28,-956
3560127,-116,28,-964
3560262,-116,4,-960
3560266,-116,4,-960
3560270,-116,4,-948
3560274,-116,4,-948
3560278,-116,4,-948
3560282,-116,4,-948
3560286,-116,4,-948
3560290,-116,8,-968
3560309,-108,8,-952
3560330,-112,0,-952
3560350,-108,0,-952
3560370,-116,4,-960
3560391,-120,4,-964
3560414,-116,-4,-964
3560431,-112,0,-968
3560452,-120,4,-968
3560472,-116,0,-968
3560492,-124,8,-972
3560513,-116,4,-972
3560533,-116,0,-984
3560553,-120,4,-980
3560573,-112,0,-984
3560593,-112,0,-976
3560614,-116,4,-980
3560634,-112,-4,-980
3560658,-112,-8,-968
3560675,-120,-4,-980
3560695,-116,-4,-984
3560716,-116,-4,-988
3560736,-116,4,-988
3560756,-112,-8,-988
3560777,-112,0,-980
3560797,-108,0,-992
3560817,-108,0,-988
3560837,-116,0,-992
3560857,-116,4,-992
3560877,-104,4,-992
3560898,-112,4,-996
3560922,-112,8,-1004
3560939,-116,12,-996
3560959,-120,16,-996
3560979,-124,12,-1004
3560999,-116,20,-1008
3561019,-112,20,-1004
3561040,-124,28,-1000
3561060,-132,36,-1012
3561080,-124,32,-1008
3561101,-132,36,-1024
3561121,-136,52,-1036
3561141,-136,52,-1040
3561166,-144,68,-1040
3561182,-144,72,-1044
3561202,-140,60,-1044
3561223,-144,64,-1044
3561243,-136,68,-1036
3561263,-136,60,-1040
3561283,-140,56,-1052
3561304,-136,72,-1040
3561324,-136,72,-1056
3561345,-140,72,-1056
3561365,-140,68,-1056
3561394,-148,68,-1068
3561405,-140,72,-1060
3561426,-136,76,-1060
3561446,-140,68,-1056
3561466,-132,72,-1048
3561487,-140,72,-1052
3561507,-128,76,-1056
3561527,-136,72,-1048
3561548,-136,80,-1052
3561568,-132,80,-1056
3561588,-140,80,-1048
3561608,-124,76,-1052
3561634,-140,84,-1036
3561649,-136,72,-1048
3561669,-128,80,-1040
3561689,-128,72,-1036
3561710,-132,76,-1044
3561730,-132,80,-1044
3561750,-124,72,-1048
3561771,-128,72,-1032
3561791,-128,76,-1040
3561812,-132,76,-1024
3561832,-128,68,-1020
3561852,-124,64,-1004
3561878,-132,72,-1012
3561893,-132,64,-1020
3561913,-132,68,-1020
3561933,-132,64,-1012
3561953,-132,60,-1004
3561974,-132,64,-996
3561994,-124,64,-992
3562014,-132,52,-996
3562035,-124,56,-984
3562055,-128,48,-988
3562076,-124,44,-976
3562102,-120,48,-984
3562116,-120,44,-960
3562137,-120,44,-968
3562157,-116,40,-960
3562177,-120,32,-952
3562197,-120,28,-956
3562217,-116,24,-956
3562237,-112,20,-952
3562258,-104,24,-952
3562278,-116,28,-952
3562298,-116,24,-956
3562318,-112,16,-956
3562339,-104,20,-952
3562362,-112,16,-952
3562380,-112,20,-952
3562400,-112,16,-952
3562420,-108,8,-956
3562440,-116,12,-956
3562461,-120,8,-960
3562481,-112,8,-964
3562501,-112,0,-960
3562522,-120,8,-964
3562542,-124,-4,-964
3562562,-124,8,-952
3562582,-124,4,-964
3562606,-120,0,-972
3562623,-116,8,-968
3562643,-116,-4,-972
3562664,-116,0,-980
3562684,-120,0,-972
3562704,-120,-4,-976
3562724,-116,0,-980
3562745,-116,4,-984
3562765,-112,4,-976
3562785,-112,4,-976
3562806,-116,0,-976
3562826,-112,0,-976
3562846,-112,0,-976
3562870,-104,-4,-980
3562887,-108,0,-984
3562907,-112,0,-980
3562928,-112,-4,-984
3562948,-116,4,-988
3562968,-112,0,-980
3562989,-112,8,-996
3563009,-116,8,-992
3563029,-120,12,-988
3563049,-108,8,-1000
3563070,-120,12,-992
3563090,-108,16,-1000
3563118,-124,16,-1000
3563131,-116,24,-1008
3563151,-124,28,-1008
3563171,-124,32,-1016
3563192,-124,36,-1020
3563212,-132,32,-1028
3563232,-128,44,-1032
3563253,-128,48,-1036
3563273,-132,48,-1032
3563293,-128,52,-1040
3563313,-128,48,-1040
3563333,-136,52,-1048
3563358,-140,52,-1056
3563374,-136,60,-1040
3563394,-140,64,-1052
3563415,-140,68,-1056
3563435,-136,68,-1052
3563455,-132,68,-1060
3563476,-132,68,-1060
3563496,-136,72,-1060
3563517,-140,68,-1064
3563537,-140,76,-1056
3563557,-136,76,-1064
3563577,-136,76,-1064
3563602,-136,76,-1052
3563618,-136,72,-1060
3563638,-136,72,-1052
3563658,-144,72,-1056
3563679,-132,64,-1052
3563700,-132,72,-1048
3563720,-136,76,-1044
3563740,-136,76,-1060
3563760,-132,76,-1048
3563780,-132,80,-1044
3563800,-132,80,-1044
3563826,-136,76,-1044
3563841,-128,72,-1044
3563861,-132,84,-1032
3563881,-132,80,-1040
3563902,-132,68,-1028
3563922,-132,68,-1020
3563942,-132,76,-1016
3563963,-132,76,-1012
3563983,-132,60,-1008
3564003,-132,72,-1008
3564023,-136,68,-1008
3564044,-132,72,-1008
3564170,-128,48,-980
3564174,-128,48,-980
3564178,-128,48,-980
3564182,-128,48,-980
3564186,-128,40,-980
3564190,-128,40,-980
3564194,-128,40,-980
3564206,-128,48,-964
3564227,-120,40,-972
3564247,-120,44,-972
3564267,-128,36,-976
3564288,-116,40,-972
3564310,-116,32,-964
3564328,-120,28,-960
3564348,-120,28,-964
3564369,-116,28,-960
3564389,-108,24,-956
3564409,-124,20,-956
3564429,-108,4,-956
3564450,-108,4,-956
3564470,-112,12,-960
3564490,-108,8,-960
3564511,-116,8,-952
3564531,-108,12,-952
3564558,-108,8,-944
3564572,-108,4,-956
3564592,-124,0,-964
3564612,-112,0,-972
3564633,-116,8,-968
3564653,-116,0,-972
3564673,-116,8,-980
3564693,-124,4,-964
3564714,-120,4,-972
3564734,-120,0,-976
3564754,-124,0,-976
3564775,-120,0,-984
3564795,-116,-4,-984
3564818,-120,-4,-988
3564836,-116,0,-984
3564856,-120,0,-980
3564876,-112,-4,-980
3564896,-120,-8,-988
3564917,-112,0,-984
3564937,-120,0,-976
3564957,-116,-8,-988
3564978,-112,-12,-984
3564998,-120,0,-984
3565018,-108,0,-984
3565039,-112,-4,-980
3565059,-104,4,-976
3565082,-104,4,-988
3565100,-120,0,-992
3565120,-116,12,-988
3565141,-116,12,-988
3565161,-124,4,-992
3565181,-112,12,-984
3565201,-116,12,-988
3565221,-116,16,-996
3565241,-112,8,-1000
3565262,-120,28,-1008
3565282,-120,32,-1004
3565302,-124,32,-1020
3565326,-136,44,-1020
3565344,-144,48,-1024
3565364,-132,48,-1040
3565384,-140,64,-1044
3565404,-140,56,-1024
3565424,-136,52,-1044
3565444,-136,52,-1032
3565465,-132,48,-1048
3565485,-144,56,-1052
3565505,-136,52,-1048
3565525,-136,72,-1052
3565546,-140,64,-1052
3565566,-136,64,-1056
3565586,-144,72,-1060
3565607,-140,68,-1052
3565627,-140,72,-1060
3565647,-136,64,-1056
3565668,-136,68,-1048
3565688,-132,64,-1056
3565708,-144,76,-1060
3565729,-128,68,-1060
3565749,-132,76,-1060
3565769,-132,76,-1052
3565794,-136,72,-1056
3565810,-136,64,-1060
3565830,-132,72,-1056
3565850,-128,76,-1052
3565871,-132,76,-1044
3565891,-132,68,-1048
3565911,-132,72,-1048
3565932,-132,84,-1044
3565952,-128,68,-1040
3565972,-140,64,-1040
3565993,-140,68,-1048
3566013,-128,72,-1036
3566038,-132,68,-1036
3566053,-136,72,-1028
3566074,-132,68,-1028
3566094,-132,68,-1032
3566114,-132,60,-1024
3566135,-132,64,-1016
3566155,-132,60,-1016
3566175,-132,64,-1008
3566196,-128,56,-996
3566216,-128,56,-996
3566236,-132,56,-976
3566257,-120,56,-980
3566282,-124,48,-988
3566297,-128,52,-988
3566317,-124,56,-988
3566337,-128,40,-980
3566358,-124,44,-964
3566378,-128,36,-964
3566399,-128,36,-956
3566419,-116,32,-960
3566439,-120,28,-952
3566460,-120,20,-952
3566480,-112,28,-956
3566500,-116,16,-948
3566526,-120,20,-960
3566541,-116,16,-960
3566561,-112,4,-956
3566581,-104,12,-948
3566601,-116,20,-952
3566622,-120,12,-952
3566642,-116,16,-956
3566662,-112,0,-956
3566683,-116,4,-964
3566704,-116,0,-964
3566724,-120,0,-948
3566744,-116,8,-960
3566770,-108,-4,-972
3566785,-112,-4,-968
3566805,-112,-4,-968
3566825,-116,-8,-964
3566845,-108,-4,-964
3566865,-116,0,-972
3566886,-120,-8,-964
3566906,-116,-8,-972
3566926,-112,-8,-976
3566946,-116,-8,-980
3566967,-116,0,-972
3566987,-112,0,-968
3567007,-112,-4,-984
3567030,-116,-8,-976
3567048,-116,-4,-976
3567068,-108,-8,-984
3567088,-112,-8,-976
3567109,-120,-8,-980
3567129,-108,-12,-968
3567149,-120,8,-988
3567170,-112,-8,-984
3567190,-112,-4,-988
3567210,-116,8,-992
3567231,-108,-4,-988
3567251,-120,0,-992
3567274,-116,12,-992
3567292,-128,4,-996
3567312,-124,20,-996
3567332,-120,24,-1012
3567353,-124,20,-1004
3567373,-132,32,-1012
3567393,-136,20,-1020
3567413,-132,32,-1020
3567434,-128,44,-1024
3567454,-136,36,-1040
3567474,-136,44,-1032
3567495,-140,52,-1040
3567518,-136,48,-1044
3567535,-144,48,-1044
3567556,-136,52,-1040
3567576,-136,48,-1036
3567596,-136,52,-1052
3567617,-140,64,-1048
3567637,-140,56,-1056
3567657,-136,76,-1060
3567677,-128,68,-1068
3567697,-136,68,-1060
3567718,-140,76,-1052
3567746,-136,64,-1064
3567758,-140,64,-1060
3567779,-140,68,-1044
3567799,-128,72,-1052
3567820,-136,64,-1064
3567840,-132,76,-1060
3567860,-136,80,-1052
3567881,-140,76,-1056
3567901,-136,72,-1064
3567921,-128,76,-1048
3567941,-136,68,-1048
3567961,-140,76,-1044
3568098,-128,68,-1032
3568102,-128,68,-1032
3568106,-132,68,-1028
3568110,-132,68,-1028
3568114,-132,68,-1028
3568118,-132,68,-1028
3568122,-132,68,-1028
3568126,-124,72,-1032
3568145,-132,60,-1016
3568165,-136,72,-1032
3568185,-132,56,-1028
3568205,-136,60,-1020
3568230,-136,60,-1020
3568246,-132,64,-1008
3568266,-136,56,-1012
3568286,-128,56,-1012
3568307,-120,56,-1000
3568327,-120,48,-992
3568348,-124,44,-984
3568368,-128,48,-988
3568388,-120,44,-980
3568408,-128,48,-980
3568428,-120,40,-984
3568449,-120,32,-968
3568469,-124,32,-972
3568489,-120,36,-956
3568509,-124,32,-960
3568530,-120,32,-960
3568550,-112,20,-960
3568570,-116,16,-956
3568591,-124,20,-948
3568612,-116,12,-952
3568632,-108,12,-944
3568652,-112,8,-960
3568672,-112,4,-948
3568693,-112,4,-952
3568718,-104,12,-944
3568733,-112,4,-956
3568753,-112,4,-956
3568773,-104,-4,-960
3568793,-112,-4,-952
3568814,-120,-4,-952
3568834,-116,12,-964
3568854,-116,12,-956
3568875,-120,16,-956
3568895,-120,8,-968
3568915,-108,0,-956
3568936,-116,-4,-976
3568958,-108,-8,-960
3568976,-120,-12,-976
3568997,-112,-4,-972
3569017,-116,-4,-984
3569037,-116,-12,-972
3569058,-116,-8,-980
3569078,-112,-8,-976
3569098,-116,-8,-972
3569119,-120,-4,-980
3569139,-120,-4,-992
3569159,-116,0,-980
3569179,-120,-4,-972
3569206,-112,-4,-980
3569220,-112,-4,-984
3569240,-116,-8,-984
3569261,-112,-4,-980
3569281,-120,-12,-988
3569301,-116,-8,-980
3569321,-116,4,-984
3569342,-116,8,-996
3569362,-116,-4,-988
3569382,-124,16,-988
3569403,-120,12,-996
3569423,-116,8,-1000
3569444,-128,8,-1004
3569466,-124,20,-1000
3569484,-128,24,-1012
3569504,-124,36,-1024
3569524,-132,32,-1024
3569545,-132,32,-1020
3569565,-136,40,-1024
3569585,-132,44,-1024
3569606,-132,48,-1032
3569626,-136,48,-1032
3569646,-136,44,-1040
3569667,-140,48,-1040
3569694,-136,56,-1052
3569708,-140,52,-1044
3569728,-140,52,-1052
3569748,-128,60,-1048
3569769,-136,60,-1052
3569789,-140,56,-1056
3569809,-136,60,-1064
3569829,-140,80,-1052
3569849,-136,68,-1060
3569869,-140,68,-1060
3569890,-132,76,-1064
3569910,-144,60,-1056
3569934,-128,72,-1044
3569951,-128,84,-1072
3569972,-140,68,-1052
3569992,-136,76,-1060
3570012,-124,76,-1056
3570033,-124,60,-1064
3570053,-132,76,-1064
3570073,-136,68,-1056
3570093,-128,76,-1032
3570113,-128,72,-1048
3570133,-128,56,-1052
3570154,-136,72,-1048
3570178,-132,72,-1036
3570194,-140,80,-1048
3570215,-124,60,-1044
3570235,-128,72,-1040
3570256,-128,60,-1040
3570276,-136,52,-1040
3570297,-132,64,-1024
3570316,-124,68,-1028
3570337,-132,60,-1016
3570357,-132,60,-1020
3570377,-132,60,-1016
3570406,-124,56,-988
3570418,-128,64,-992
3570438,-128,44,-988
3570458,-136,52,-980
3570478,-124,44,-992
3570499,-128,56,-988
3570519,-124,52,-984
3570539,-128,48,-984
3570560,-132,40,-968
3570580,-124,40,-964
3570600,-120,28,-968
3570621,-128,24,-964
3570650,-120,32,-960
3570661,-120,32,-968
3570681,-124,28,-968
3570702,-120,28,-960
3570722,-112,20,-952
3570742,-112,16,-952
3570763,-116,12,-956
3570783,-112,12,-952
3570803,-120,12,-952
3570824,-116,4,-956
3570844,-120,16,-956
3570864,-116,12,-952
3570885,-116,4,-956
3570910,-112,0,-956
3570925,-116,4,-956
3570945,-112,4,-948
3570966,-112,4,-952
3570986,-112,0,-956
3571006,-108,4,-956
3571027,-120,0,-968
3571047,-120,4,-964
3571067,-108,-12,-960
3571088,-124,-4,-960
3571108,-120,0,-968
3571128,-116,0,-964
3571158,-128,0,-964
3571169,-120,-8,-964
3571189,-116,-4,-980
3571209,-124,0,-972
3571230,-120,-12,-976
3571250,-120,-8,-976
3571270,-120,-4,-972
3571290,-116,-12,-980
3571311,-128,-8,-980
3571331,-116,-8,-984
3571352,-120,-12,-988
3571372,-120,-8,-980
3571402,-112,-8,-992
3571413,-116,-8,-992
3571433,-108,-4,-984
3571453,-112,-12,-984
3571473,-116,-12,-980
3571494,-116,0,-992
3571514,-116,-4,-988
3571534,-124,4,-992
3571555,-116,12,-996
3571575,-116,4,-1000
3571595,-120,8,-988
3571615,-120,24,-1000
3571636,-128,16,-992
3571658,-124,12,-992
3571677,-120,16,-1008
3571697,-124,16,-1004
3571717,-128,24,-1016
3571737,-128,28,-1016
3571757,-132,32,-1016
3571778,-132,40,-1028
3571798,-132,40,-1028
3571818,-132,32,-1040
3571839,-136,32,-1028
3571860,-132,44,-1036
3571986,-140,40,-1052
3571990,-140,40,-1052
3571994,-140,40,-1052
3571998,-140,40,-1052
3572002,-144,52,-1060
3572006,-144,52,-1060
3572010,-144,52,-1060
3572021,-140,52,-1060
3572042,-144,52,-1072
3572062,-136,52,-1060
3572082,-128,56,-1052
3572103,-136,68,-1052
3572126,-132,60,-1052
3572144,-128,60,-1048
3572164,-132,60,-1044
3572183,-132,68,-1052
3572204,-136,56,-1052
3572224,-128,60,-1040
3572244,-136,68,-1036
3572265,-124,64,-1036
3572285,-132,72,-1024
3572305,-136,68,-1036
3572326,-136,60,-1036
3572346,-132,76,-1040
3572370,-132,64,-1044
3572387,-132,60,-1028
3572407,-132,64,-1024
3572427,-124,64,-1024
3572448,-128,64,-1024
3572468,-132,64,-1024
3572488,-132,60,-1020
3572509,-128,56,-1020
3572529,-120,52,-1016
3572549,-128,60,-1008
3572569,-128,56,-1004
3572598,-128,60,-1016
3572610,-120,60,-992
3572630,-132,56,-992
3572651,-128,52,-996
3572671,-132,52,-988
3572691,-120,48,-992
3572711,-124,44,-980
3572732,-120,40,-968
3572752,-124,44,-972
3572773,-116,36,-968
3572793,-120,40,-980
3572813,-128,44,-976
3572842,-128,32,-972
3572854,-116,28,-960
3572874,-116,24,-956
3572894,-116,20,-964
3572915,-116,24,-960
3572935,-116,12,-948
3572955,-112,20,-952
3572976,-116,16,-960
3572996,-120,24,-972
3573016,-116,8,-948
3573036,-112,8,-956
3573057,-116,4,-964
3573077,-116,8,-964
3573102,-108,4,-964
3573117,-124,8,-952
3573138,-120,0,-972
3573158,-116,0,-964
3573178,-128,-8,-976
3573199,-116,-4,-988
3573219,-116,-4,-984
3573240,-120,-4,-976
3573260,-120,-4,-964
3573280,-120,0,-972
3573301,-124,0,-972
3573321,-120,0,-980
3573350,-120,0,-976
3573361,-120,-16,-980
3573381,-112,4,-980
3573402,-116,-4,-968
3573422,-124,-12,-976
3573442,-124,4,-980
3573463,-124,-8,-984
3573483,-112,-4,-976
3573504,-116,-4,-976
3573524,-116,-8,-968
3573544,-112,-16,-976
3573565,-112,-8,-976
3573594,-116,-4,-980
3573605,-120,-4,-980
3573625,-120,0,-988
3573645,-120,-8,-984
3573666,-108,4,-996
3573686,-120,4,-988
3573706,-120,-4,-984
3573726,-116,8,-992
3573747,-112,8,-1000
3573767,-116,0,-996
3573787,-124,24,-1004
3573808,-124,16,-1012
3573828,-128,12,-1012
3573854,-132,24,-1008
3573868,-128,24,-1016
3573889,-124,16,-1008
3573909,-128,32,-1020
3573929,-120,36,-1028
3573950,-132,32,-1032
3573970,-136,44,-1040
3573990,-128,44,-1036
3574011,-140,40,-1040
3574031,-132,44,-1044
3574051,-132,48,-1040
3574078,-132,48,-1048
3574092,-136,40,-1052
3574112,-136,52,-1060
3574132,-136,56,-1064
3574153,-140,56,-1068
3574173,-144,60,-1056
3574193,-132,60,-1064
3574214,-140,68,-1064
3574234,-140,52,-1064
3574254,-136,56,-1064
3574275,-132,56,-1064
3574295,-136,64,-1064
3574318,-136,64,-1072
3574336,-132,60,-1056
3574356,-136,56,-1056
3574376,-128,64,-1048
3574397,-132,60,-1052
3574417,-132,60,-1040
3574437,-128,64,-1048
3574457,-136,64,-1044
3574477,-136,56,-1048
3574498,-132,60,-1036
3574518,-132,64,-1032
3574538,-136,68,-1036
3574562,-132,60,-1044
3574579,-124,64,-1036
3574600,-132,68,-1028
3574620,-124,68,-1016
3574640,-124,60,-1024
3574661,-128,56,-1024
3574681,-124,60,-1020
3574701,-132,52,-1012
3574721,-120,60,-1020
3574741,-132,52,-1008
3574762,-128,60,-1008
3574790,-124,60,-1012
3574802,-128,60,-992
3574823,-124,52,-992
3574843,-128,56,-988
3574864,-124,48,-996
3574884,-132,56,-984
3574904,-124,40,-984
3574925,-120,44,-976
3574945,-124,52,-976
3574965,-116,44,-964
3574985,-120,32,-972
3575005,-120,40,-964
3575034,-120,36,-964
3575046,-116,40,-964
3575066,-120,32,-956
3575087,-112,24,-956
3575107,-120,24,-956
3575128,-124,16,-956
3575148,-120,20,-956
3575168,-120,20,-964
3575188,-120,24,-968
3575208,-112,16,-952
3575229,-112,16,-964
3575249,-120,4,-964
3575269,-120,0,-972
3575294,-120,4,-968
3575310,-124,0,-968
3575330,-116,-4,-964
3575350,-116,8,-968
3575371,-120,0,-964
3575391,-116,4,-956
3575411,-120,12,-972
3575431,-116,0,-972
3575452,-112,8,-976
3575472,-108,12,-972
3575492,-112,12,-988
3575513,-100,-12,-960
3575538,-120,4,-968
3575553,-136,-4,-976
3575574,-104,-4,-968
3575594,-132,-4,-996
3575614,-120,-8,-976
3575635,-120,4,-984
3575655,-120,0,-968
3575675,-124,4,-972
3575696,-116,-12,-976
3575716,-124,-4,-976
3575736,-116,0,-964
3575757,-120,-4,-980
3575777,-120,-4,-984
3575919,-120,4,-984
3575922,-120,4,-984
3575926,-120,4,-984
3575930,-120,4,-984
3575934,-120,4,-984
3575938,-120,4,-984
3575942,-104,4,-1004
3575946,-104,4,-1004
3575960,-120,12,-1000
3575980,-116,12,-1008
3576000,-128,24,-1016
3576021,-128,28,-1016
3576046,-120,28,-996
3576061,-128,12,-1012
3576081,-120,28,-1028
3576101,-132,28,-1020
3576122,-124,36,-1032
3576142,-132,48,-1048
3576162,-136,48,-1048
3576183,-140,56,-1052
3576203,-136,52,-1048
3576224,-128,40,-1048
3576244,-132,40,-1056
3576264,-132,48,-1060
3576286,-136,44,-1044
3576305,-140,60,-1064
3576325,-136,52,-1060
3576345,-136,52,-1064
3576365,-140,60,-1048
3576385,-132,60,-1060
3576406,-136,52,-1060
3576426,-132,56,-1056
3576446,-136,64,-1048
3576467,-132,56,-1060
3576488,-132,60,-1056
3576510,-132,64,-1040
3576528,-136,76,-1040
3576549,-132,68,-1052
3576569,-136,64,-1060
3576589,-140,64,-1048
3576609,-132,60,-1028
3576629,-132,76,-1044
3576649,-136,60,-1036
3576670,-136,60,-1032
3576690,-132,60,-1024
3576710,-124,68,-1024
3576730,-128,76,-1040
3576754,-132,56,-1032
3576771,-128,60,-1012
3576791,-124,68,-1020
3576812,-124,64,-1012
3576832,-128,60,-1004
3576852,-128,56,-1000
3576873,-132,52,-1008
3576893,-128,64,-1012
3576913,-132,60,-1004
3576933,-124,52,-988
3576954,-120,48,-984
3576974,-128,48,-980
3576998,-124,52,-996
3577015,-120,44,-992
3577035,-136,48,-984
3577055,-124,48,-980
3577076,-116,44,-956
3577096,-124,36,-984
3577116,-104,28,-948
3577137,-120,20,-960
3577157,-124,32,-976
3577177,-120,28,-960
3577197,-128,16,-968
3577218,-104,32,-940
3577242,-128,20,-980
3577258,-116,12,-956
3577279,-112,8,-960
3577299,-112,4,-956
3577319,-116,16,-964
3577340,-124,8,-964
3577360,-116,12,-952
3577380,-112,16,-960
3577401,-116,-8,-972
3577421,-112,0,-960
3577441,-116,4,-972
3577461,-116,-8,-964
3577486,-120,4,-968
3577502,-120,0,-972
3577522,-120,-4,-948
3577543,-132,0,-992
3577563,-120,-16,-972
3577583,-132,-12,-972
3577604,-120,-4,-972
3577624,-120,-8,-976
3577644,-128,-16,-968
3577665,-116,-16,-960
3577685,-120,-8,-960
3577705,-120,-8,-952
3577734,-132,-12,-972
3577745,-128,-4,-956
3577766,-120,12,-972
3577786,-96,-8,-976
3577806,-132,-12,-968
3577827,-104,-24,-984
3577847,-108,-16,-984
3577868,-120,-8,-972
3577888,-124,-4,-984
3577908,-120,4,-992
3577929,-128,0,-992
3577949,-124,-4,-996
3577969,-116,-16,-992
3577989,-116,0,-1004
3578009,-124,0,-992
3578030,-128,12,-992
3578050,-132,16,-1004
3578070,-124,16,-1000
3578091,-132,12,-1008
3578111,-124,20,-1008
3578132,-124,8,-1012
3578152,-136,20,-1016
3578172,-136,12,-1024
3578193,-132,24,-1016
3578222,-140,44,-1032
3578233,-132,44,-1032
3578253,-144,44,-1044
3578273,-136,56,-1032
3578294,-132,52,-1028
3578314,-136,44,-1048
3578334,-136,52,-1040
3578355,-136,52,-1040
3578375,-136,56,-1044
3578395,-148,60,-1056
3578415,-140,72,-1056
3578435,-144,60,-1048
3578458,-136,60,-1052
3578476,-136,64,-1060
3578496,-140,60,-1052
3578517,-132,64,-1064
3578537,-140,68,-1060
3578557,-132,68,-1064
3578578,-136,64,-1060
3578598,-140,68,-1060
3578618,-132,60,-1052
3578639,-132,68,-1064
3578659,-132,64,-1056
3578679,-128,60,-1052
3578702,-140,64,-1056
3578720,-140,68,-1056
3578740,-136,56,-1056
3578760,-116,60,-1040
3578781,-144,64,-1052
3578801,-128,60,-1032
3578821,-140,64,-1060
3578841,-124,76,-1032
3578862,-136,60,-1040
3578882,-132,64,-1036
3578903,-128,52,-1024
3578930,-140,64,-1032
3578943,-128,52,-1020
3578963,-132,48,-1024
3578984,-124,64,-1020
3579004,-128,48,-1008
3579024,-136,48,-1016
3579045,-116,44,-1000
3579065,-128,36,-1000
3579085,-128,32,-992
3579105,-128,44,-996
3579126,-132,28,-980
3579146,-128,36,-972
3579170,-128,32,-988
3579187,-128,24,-968
3579207,-124,32,-972
3579227,-120,40,-964
3579248,-128,24,-964
3579268,-124,16,-960
3579288,-120,20,-952
3579309,-120,8,-964
3579329,-124,12,-956
3579349,-116,24,-948
3579369,-120,20,-944
3579390,-116,12,-952
3579418,-116,0,-952
3579430,-108,4,-944
3579451,-116,8,-948
3579471,-128,4,-952
3579491,-108,4,-948
3579511,-116,4,-956
3579532,-116,-8,-964
3579552,-116,0,-952
3579573,-112,-4,-956
3579593,-116,-8,-964
3579613,-112,-8,-948
3579633,-124,-8,-952
3579653,-108,-12,-956
3579786,-116,-12,-964
3579790,-116,-12,-964
3579794,-116,-12,-964
3579798,-104,-12,-968
3579802,-104,-12,-968
3579806,-104,-12,-968
3579810,-104,-12,-968
3579816,-124,-16,-976
3579836,-116,-16,-980
3579856,-128,-8,-988
3579877,-116,-12,-980
3579897,-112,-16,-976
3579917,-120,-16,-976
3579938,-116,-16,-976
3579958,-124,-12,-976
3579978,-116,-12,-984
3579999,-120,-16,-984
3580020,-120,-8,-988
3580040,-120,-4,-988
3580060,-116,-8,-988
3580080,-116,0,-992
3580100,-112,-8,-988
3580120,-124,-4,-984
3580150,-116,0,-1000
3580161,-124,16,-1012
3580181,-128,12,-1008
3580201,-124,4,-996
3580222,-116,8,-1008
3580242,-124,4,-1012
3580262,-128,20,-1012
3580283,-128,32,-1028
3580303,-136,32,-1024
3580323,-136,28,-1032
3580344,-132,44,-1032
3580364,-144,40,-1032
3580394,-132,40,-1044
3580405,-140,44,-1044
3580425,-136,40,-1040
3580445,-140,52,-1048
3580465,-144,52,-1052
3580486,-144,60,-1048
3580506,-144,60,-1052
3580526,-140,52,-1044
3580547,-132,60,-1052
3580567,-132,56,-1060
3580587,-136,64,-1064
3580608,-132,60,-1060
3580630,-132,64,-1068
3580648,-136,64,-1064
3580669,-144,64,-1060
3580689,-136,72,-1056
3580709,-144,64,-1060
3580729,-136,56,-1056
3580750,-136,60,-1056
3580770,-132,68,-1060
3580790,-128,64,-1048
3580811,-136,68,-1056
3580831,-124,68,-1056
3580851,-136,64,-1052
3580874,-124,68,-1052
3580892,-128,72,-1040
3580912,-136,60,-1036
3580932,-136,60,-1040
3580952,-132,72,-1032
3580973,-132,64,-1036
3580993,-128,60,-1036
3581013,-136,52,-1040
3581034,-128,60,-1024
3581054,-140,60,-1024
3581074,-128,52,-1004
3581098,-124,44,-980
3581115,-128,36,-1000
3581136,-124,44,-996
3581156,-136,48,-1016
3581176,-132,48,-996
3581197,-124,36,-988
3581217,-128,40,-980
3581237,-116,20,-976
3581257,-120,24,-972
3581277,-120,20,-972
3581298,-124,32,-980
3581318,-120,24,-972
3581346,-124,24,-980
3581359,-124,24,-964
3581379,-120,16,-964
3581400,-116,12,-960
3581420,-112,16,-952
3581440,-116,8,-952
3581461,-116,12,-956
3581481,-120,16,-948
3581501,-116,12,-952
3581521,-116,0,-948
3581541,-120,8,-948
3581561,-116,0,-956
3581582,-112,4,-952
3581606,-124,-8,-956
3581622,-120,0,-952
3581643,-116,0,-960
3581663,-116,-4,-960
3581683,-112,-4,-956
3581703,-116,0,-960
3581724,-128,-8,-964
3581744,-124,0,-972
3581764,-116,-8,-968
3581785,-112,-12,-968
3581805,-116,-8,-964
3581825,-124,-8,-960
3581850,-120,-8,-980
3581866,-124,-12,-976
3581886,-116,-12,-976
